                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    130,                0.77878,                0.71673,                0.96696,                0.54065,                0.48069,                0.46014,                0.32657,                 1.1874,                 1.5197,                 1.2076,             0.00030521,             0.00030521,             0.00030521
                    131,                0.78152,                0.70995,                0.96975,                0.56073,                0.47447,                0.46536,                0.32768,                  1.183,                 1.5313,                 1.2168,             0.00030109,             0.00030109,             0.00030109
                    132,                0.77869,                0.70584,                0.96751,                0.53994,                0.47275,                 0.4615,                0.32614,                 1.1884,                 1.5262,                 1.2118,             0.00029696,             0.00029696,             0.00029696
                    133,                0.77883,                0.70884,                 0.9733,                0.54161,                0.46535,                0.44795,                0.31869,                 1.1834,                 1.5363,                 1.2106,             0.00029284,             0.00029284,             0.00029284
                    134,                0.76135,                0.68473,                 0.9622,                0.57808,                0.45594,                0.46347,                0.32687,                 1.1861,                  1.549,                 1.2031,             0.00028872,             0.00028872,             0.00028872
                    135,                0.76887,                0.69175,                0.96374,                0.56717,                 0.4629,                0.45843,                0.32454,                 1.1804,                 1.5311,                 1.2095,             0.00028459,             0.00028459,             0.00028459
                    136,                0.76936,                0.69576,                0.96774,                0.56122,                0.46599,                0.45442,                0.32294,                 1.1862,                 1.5263,                 1.2105,             0.00028047,             0.00028047,             0.00028047
                    137,                0.76009,                0.67455,                0.95903,                0.54945,                0.47139,                0.45743,                0.32638,                 1.1879,                 1.5218,                 1.2151,             0.00027635,             0.00027635,             0.00027635
                    138,                0.75937,                0.68525,                0.96152,                0.54303,                 0.4785,                0.46128,                0.32996,                 1.1809,                 1.5505,                 1.2119,             0.00027222,             0.00027222,             0.00027222
                    139,                0.75562,                0.67127,                0.95563,                0.55374,                0.46205,                0.45898,                0.32461,                 1.1835,                 1.5304,                 1.2128,              0.0002681,              0.0002681,              0.0002681
                    140,                0.74945,                0.66738,                0.96068,                0.55174,                0.47119,                0.45461,                0.32143,                 1.1771,                 1.5426,                 1.2049,             0.00026398,             0.00026398,             0.00026398
                    141,                0.75286,                0.67281,                0.95425,                0.53732,                0.47321,                0.45917,                0.32362,                 1.1802,                 1.5402,                 1.2083,             0.00025985,             0.00025985,             0.00025985
                    142,                0.75055,                0.67122,                0.95811,                0.57427,                0.44297,                0.45617,                0.32906,                 1.1832,                 1.5416,                 1.2161,             0.00025573,             0.00025573,             0.00025573
                    143,                0.74726,                 0.6607,                0.95672,                0.55167,                0.47164,                0.46235,                0.33155,                 1.1743,                 1.5164,                 1.2052,             0.00025161,             0.00025161,             0.00025161
